INFO         | Android emulator version 36.6.11.0 (build_id 15507667) (CL:N/A)
INFO         | Graphics backend: gfxstream
INFO         | Found systemPath /Users/samuel/Library/Android/sdk/system-images/android-37.1/google_apis_playstore_ps16k/arm64-v8a/
INFO         | Guest usage of host flag 'VulkanVirtualQueue' will be ignored.
INFO         | Increasing RAM size to 4096MB
INFO         | Guest GLES Driver: Auto (ext controls)
WARNING      | Software GL rendering will be used due to system memory pressure, performance will be affected! (Available Memory: 4113 MB, Required: 5120 MB)
INFO         | emuglConfig_init: vulkan_mode_selected:lavapipe gles_mode_selected:swangle
INFO         | Checking system compatibility:
INFO         |   Checking: hasSufficientDiskSpace
INFO         |      Ok: Disk space requirements to run avd: `Pixel_10_Pro_XL` are met
INFO         |   Checking: hasSufficientHwGpu
INFO         |      Ok: Hardware GPU compatibility checks are not required
INFO         |   Checking: hasSufficientSystem
INFO         |      Ok: System requirements to run avd: `Pixel_10_Pro_XL` are met
INFO         | Warning: QMetaObject::connectSlotsByName: No matching signal for on_default_environment_selected() (:0, )
INFO         | Warning: QMetaObject::connectSlotsByName: No matching signal for on_none_selected() (:0, )
INFO         | Warning: QMetaObject::connectSlotsByName: No matching signal for on_custom_image_selected() (:0, )
INFO         | Warning: QMetaObject::connectSlotsByName: No matching signal for on_custom_video_selected() (:0, )
INFO         | Warning: QMetaObject::connectSlotsByName: No matching signal for on_custom_360_image_selected() (:0, )
INFO         | Storing crashdata in: /tmp/android-samuel/emu-crash-36.6.11.db, detection is enabled for process: 19633
INFO         | Initializing gfxstream backend
INFO         | startOpenglesRendererImpl: gpu info
INFO         | 
INFO         | Vulkan 1.4 is not supported for the guest and won't be enabled
INFO         | initIcdPaths: ICD set to 'lavapipe', using Lavapipe ICD
INFO         | Setting ICD filenames for the loader = /Users/samuel/Library/Android/sdk/emulator/lib64/vulkan/lvp_icd.json
INFO         | SharedLibrary::open for [/Users/samuel/Library/Android/sdk/emulator/qemu/darwin-aarch64/lib64/vulkan/libvulkan.dylib]
INFO         | Added library: /Users/samuel/Library/Android/sdk/emulator/qemu/darwin-aarch64/lib64/vulkan/libvulkan.dylib
INFO         | Enabling Vulkan portability.
INFO         | Selecting Vulkan device: llvmpipe (LLVM 21.1.4, 128 bits), Version: 1.4.330
INFO         | Using Vulkan externalMemoryMode: OpaqueFd for VkEmulation
INFO         | Initializing VkEmulation features:
INFO         |     glInteropSupported: false
INFO         |     useDeferredCommands: true
INFO         |     createResourceWithRequirements: true
INFO         |     useVulkanComposition: false
INFO         |     useVulkanNativeSwapchain: false
INFO         |     enable guestRenderDoc: false
INFO         |     ASTC LDR emulation mode: Gpu
INFO         |     enable ETC2 emulation: true
INFO         |     enable Ycbcr emulation: false
INFO         |     guestVulkanOnly: false
INFO         |     useDedicatedAllocations: false
INFO         |     guestVulkanMaxApiVersion: 1.3.0
INFO         |     enableProtectedMemoryEmulation: false
INFO         | Graphics Adapter Vendor Google (Google Inc. (Google))
INFO         | Graphics Adapter Android Emulator OpenGL ES Translator (ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (LLVM 10.0.0) (0x0000C0DE)), SwiftShader driver-5.0.0))
INFO         | Graphics API Version OpenGL ES 3.0 (OpenGL ES 3.1.0 (ANGLE 2.1.1 git hash: fbf66f49c7cc))
INFO         | Graphics API Extensions GL_OES_EGL_sync GL_OES_EGL_image GL_OES_EGL_image_external GL_OES_depth24 GL_OES_depth32 GL_OES_element_index_uint GL_OES_texture_float GL_OES_texture_float_linear GL_OES_compressed_paletted_texture GL_OES_compressed_ETC1_RGB8_texture GL_OES_depth_texture GL_OES_texture_half_float GL_OES_texture_half_float_linear GL_OES_packed_depth_stencil GL_OES_vertex_half_float GL_OES_standard_derivatives GL_OES_texture_npot GL_OES_rgb8_rgba8 GL_OVR_multiview2 GL_EXT_color_buffer_float GL_EXT_color_buffer_half_float GL_EXT_texture_format_BGRA8888 GL_APPLE_texture_format_BGRA8888 GL_EXT_draw_buffers_indexed GL_EXT_clip_cull_distance 
INFO         | Graphics Device Extensions N/A
INFO         | Disabling sparse binding feature support
INFO         | Sending adb public key [QAAAAEEko5A/FMUDtjlnipadC22z4ROmnzjEsyi1m9NxYMWq8fASm5qhQcenAEJ+WseYX+B9Vobn3YOuNcTllBHylQhH46Cg8W9NmLmql3wl1wNg7+1yes6St/BVI2a2HkQ2Qp8hDUQmzOl6x55tpdsspUqdCeFc9drKfva9jZ8bUQkHi3bdkgC+ICYM+msugsSiwtJhdDX904kRwiCCJXaymsJ00vpdo6WuhrbbprvYb8lveyudTQUIAA+BlvP2B/GJz/7hYkXz+tyn2o+RCX2Z6pY8q1sYwWF1S0fpikOvp3RSkGGF6xhpJ0qftxN1p6o4aoVPqUCzno4Zvwtb37fhK3YRjFu5EPzdrb7FmyWT012IXZDmLEY4txBmJe+kZQRkw4hwLlTktYEV2JjbGZgKFDMVwnEQPkc7VPPyInV3NsmgHMrexR+XS9lD17cl82bDVYVsyTNasYvaGAM4fORT0QUVJNh02RP9W3piKarBAtPNff0yTXIsuFhDmeep3ndgCyRTxi7+Wm44WXmllOVbuwIi5YB/x86Uk53ND0BibE5wLBo8UDQFpXGQZcCFdhWUpmwtE+5GU8i+mY8P5J1KpCnPy8GJF2dYQ3FGu39pyGd/cMWvdyL0HGA8APHVMt4+Uzzx1EiZlTRE0hTfdx70HWCjkLlXUKGVRh07v36hN6t8PS69EAEAAQA= samuel@unknown]
INFO         | Userspace boot properties:
INFO         |   androidboot.boot_devices=a003600.virtio_mmio
INFO         |   androidboot.dalvik.vm.heapsize=576m
INFO         |   androidboot.debug.hwui.renderer=skiagl
INFO         |   androidboot.hardware=ranchu
INFO         |   androidboot.hardware.gltransport=pipe
INFO         |   androidboot.hardware.vulkan=ranchu
INFO         |   androidboot.logcat=*:V
INFO         |   androidboot.opengles.version=196609
INFO         |   androidboot.qemu=1
INFO         |   androidboot.qemu.adb.pubkey=QAAAAEEko5A/FMUDtjlnipadC22z4ROmnzjEsyi1m9NxYMWq8fASm5qhQcenAEJ+WseYX+B9Vobn3YOuNcTllBHylQhH46Cg8W9NmLmql3wl1wNg7+1yes6St/BVI2a2HkQ2Qp8hDUQmzOl6x55tpdsspUqdCeFc9drKfva9jZ8bUQkHi3bdkgC+ICYM+msugsSiwtJhdDX904kRwiCCJXaymsJ00vpdo6WuhrbbprvYb8lveyudTQUIAA+BlvP2B/GJz/7hYkXz+tyn2o+RCX2Z6pY8q1sYwWF1S0fpikOvp3RSkGGF6xhpJ0qftxN1p6o4aoVPqUCzno4Zvwtb37fhK3YRjFu5EPzdrb7FmyWT012IXZDmLEY4txBmJe+kZQRkw4hwLlTktYEV2JjbGZgKFDMVwnEQPkc7VPPyInV3NsmgHMrexR+XS9lD17cl82bDVYVsyTNasYvaGAM4fORT0QUVJNh02RP9W3piKarBAtPNff0yTXIsuFhDmeep3ndgCyRTxi7+Wm44WXmllOVbuwIi5YB/x86Uk53ND0BibE5wLBo8UDQFpXGQZcCFdhWUpmwtE+5GU8i+mY8P5J1KpCnPy8GJF2dYQ3FGu39pyGd/cMWvdyL0HGA8APHVMt4+Uzzx1EiZlTRE0hTfdx70HWCjkLlXUKGVRh07v36hN6t8PS69EAEAAQA= samuel@unknown
INFO         |   androidboot.qemu.avd_name=Pixel_10_Pro_XL
INFO         |   androidboot.qemu.camera_hq_edge_processing=0
INFO         |   androidboot.qemu.camera_protocol_ver=1
INFO         |   androidboot.qemu.cpuvulkan.version=4210688
INFO         |   androidboot.qemu.gltransport.drawFlushInterval=800
INFO         |   androidboot.qemu.gltransport.name=pipe
INFO         |   androidboot.qemu.hwcodec.avcdec=2
INFO         |   androidboot.qemu.hwcodec.hevcdec=2
INFO         |   androidboot.qemu.hwcodec.vpxdec=2
INFO         |   androidboot.qemu.settings.system.screen_off_timeout=2147483647
INFO         |   androidboot.qemu.skin=pixel_10_pro_xl
INFO         |   androidboot.qemu.virtiowifi=1
INFO         |   androidboot.qemu.vsync=60
INFO         |   androidboot.serialno=EMULATOR36X6X11X0
INFO         |   androidboot.vbmeta.digest=5f9ef697cbf4a9a2993e3951ed3b9f6aa65f69e72e51e27f9b8a62118b972a43
INFO         |   androidboot.vbmeta.hash_alg=sha256
INFO         |   androidboot.vbmeta.size=6720
INFO         |   androidboot.veritymode=enforcing
INFO         | Monitoring duration of emulator setup.
WARNING      | The emulator now requires a signed jwt token for gRPC access! Use the -grpc flag if you really want an open unprotected grpc port
INFO         | Using security allow list from: /Users/samuel/Library/Android/sdk/emulator/lib/emulator_access.json
INFO         | The active JSON Web Key Sets can be found here: /Users/samuel/Library/Caches/TemporaryItems/avd/running/19633/jwks/f7042660-f098-4bcb-be4a-b434f727d47d/active.jwk
INFO         | Scanning /Users/samuel/Library/Caches/TemporaryItems/avd/running/19633/jwks/f7042660-f098-4bcb-be4a-b434f727d47d for jwk keys.
INFO         | Started GRPC server at 127.0.0.1:8554, security: Local, auth: +token
INFO         | Advertising in: /Users/samuel/Library/Caches/TemporaryItems/avd/running/pid_19633.ini
INFO         | Activated packet streamer for uwb emulation
INFO         | Successfully initialized netsim WiFi
INFO         | Activated packet streamer for bluetooth emulation
INFO         | Setting display: 0 configuration to: 1344x2992, dpi: 480x480 
INFO         | setDisplayActiveConfig: id:0, 1344x2992
WARNING      | getEnvironmentConfig: No environment config is provided
INFO         | getEnvironmentConfig: Using default virtual scene mode for the environment.
